aliases	description	*biosample	crosslinking_method	crosslinking_temperature	crosslinking_time	digestion_enzyme	experiment_sets|0	experiment_sets|1	ligation_volume	protocol	protocol_variation	tagging_method
erezlab:hic191		dcic:encodegm12878b2_p30	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic192		dcic:encodegm12878b2_p30	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic193		dcic:encodegm12878b2_p30	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic194		dcic:encodegm12878b2_p31	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic195		dcic:encodegm12878b2_p32	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic196		dcic:encodegm12878b2_p32	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic	['dcic:Pro_insituhic3day']	bio-dATP
erezlab:hic197		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic198		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic199		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic200		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	DpnII			1.2	dcic:Pro_insituhic		bio-dATP
erezlab:hic201		dcic:encodegm12878b2_p33	1% Formaldehyde	25	10	MboI			1.2	dcic:Pro_insituhic		bio-dATP
